Puzzle,Category,Date,Episode_Number,Round
SENTIMENTAL VALUE,Thing,5/17/23,#7798,T5
SHOCKING CONCLUSION,Event,5/17/23,#7798,R4
FORMING A FOUNDATION,What Are You Doing?,5/17/23,#7798,BR
I LOVE HOW IT FITS,Phrase,5/18/23,#7799,T1
THE PERFECT PRICE,Thing,5/18/23,#7799,T2
RECEIVING FLOWERS AT WORK,Event,5/18/23,#7799,R1
ONIONS LENTILS SALT PEAS,In the Soup,5/18/23,#7799,R2^
VISITING GORGEOUS WINERIES,What Are You Doing?,5/18/23,#7799,R3*
COLLEGE FOOTBALL,Fun & Games,5/18/23,#7799,T3
FLAG FOOTBALL,Fun & Games,5/18/23,#7799,T4
FANTASY FOOTBALL,Fun & Games,5/18/23,#7799,T5
VICTORIAN MANSION,Place,5/18/23,#7799,R4
THAT WAS A PIVOTAL FACTOR,Phrase,5/18/23,#7799,BR
MONEY MANAGER,Occupation,5/19/23,#7800,T1
MINDING MY MANNERS,What Are You Doing?,5/19/23,#7800,T2
AN OFFER YOU CAN'T REFUSE,Phrase,5/19/23,#7800,R1
WHIPPED CREAM OF THE CROP,Before & After,5/19/23,#7800,R2
ANIMALS IN THEIR NATURAL HABITAT,Living Things,5/19/23,#7800,R3*
BACK-TO-SCHOOL SALE,Event,5/19/23,#7800,T3
HOLIDAY SALE,Event,5/19/23,#7800,T4
YARD SALE,Event,5/19/23,#7800,T5
SWING DANCE LESSONS,Fun & Games,5/19/23,#7800,R4
UNACHIEVABLE GOAL,Thing,5/19/23,#7800,BR
A WINNING COMBINATION,Thing,5/22/23,#7801,T1
DRIVING INSTRUCTOR,Person,5/22/23,#7801,T2
FANTASTIC FAITHFUL FANS,Same Letter,5/22/23,#7801,R1
BURGERS HOT OFF THE GRILL,Food & Drink,5/22/23,#7801,R2
LOUNGING LIKE THERE'S NO TOMORROW,What Are You Doing?,5/22/23,#7801,R3*
NEW JERSEY,On the Map,5/22/23,#7801,T3
NEW YORK,On the Map,5/22/23,#7801,T4
NEW ZEALAND,On the Map,5/22/23,#7801,T5
EIGHT-TRACK TAPE,Around the House,5/22/23,#7801,R4
USING OFFICE JARGON,What Are You Doing?,5/22/23,#7801,BR
RAISING THE CURTAIN,Show Biz,5/23/23,#7802,T1
PARENTS OF THE BRIDE,People,5/23/23,#7802,T2
WHEN YOU COME TO A FORK IN THE ROAD TAKE IT,Quotation,5/23/23,#7802,R1
PET MAIDEN CODE PEN,By Any Other Name,5/23/23,#7802,R2^
PLACES TO GO THINGS TO DO,Phrase,5/23/23,#7802,R3*
SIX-PACK OF SODA,Food & Drink,5/23/23,#7802,T3
ONE DOZEN CUPCAKES,Food & Drink,5/23/23,#7802,T4
BUCKET OF ICE CREAM,Food & Drink,5/23/23,#7802,T5
SLAYING IT!,What Are You Doing?,5/23/23,#7802,R4
FANCY BOUTIQUE,Place,5/23/23,#7802,BR
DRAMATIC ENTRANCE,Event,5/24/23,#7803,T1
PLAYING CHARADES,Fun & Games,5/24/23,#7803,T2
TONY BENNETT & LADY GAGA,Proper Names,5/24/23,#7803,R1
BRIGHT-EYED AND BUSHY-TAILED,Phrase,5/24/23,#7803,R2
A DELIGHTFUL RESORT BY THE SEA,Place,5/24/23,#7803,R3*
TEAM EFFORT,Thing,5/24/23,#7803,T3
SECOND EFFORT,Thing,5/24/23,#7803,T4
LAST-DITCH EFFORT,Thing,5/24/23,#7803,T5
CHECKING MY BEEPER,What Are You Doing?,5/24/23,#7803,R4
ALWAYS EVOLVING,Phrase,5/24/23,#7803,BR
WE AIM TO PLEASE,Phrase,5/25/23,#7804,T1
VENICE ITALY,On the Map,5/25/23,#7804,T2
MOVIE THEATER BALCONY,Place,5/25/23,#7804,R1
BIRTH QUESTION POST BOOK,_____ Mark,5/25/23,#7804,R2^
EXPLORING THE GREAT OUTDOORS,Fun & Games,5/25/23,#7804,R3*
CHEMICAL ELEMENT,Thing,5/25/23,#7804,T3
ESSENTIAL ELEMENT,Thing,5/25/23,#7804,T4
THE ELEMENT OF SURPRISE,Thing,5/25/23,#7804,T5
TALKING A BLUE STREAK,What Are You Doing?,5/25/23,#7804,R4
WAY OVERBOARD,Phrase,5/25/23,#7804,BR
A NIGHT ON THE TOWN,Event,5/26/23,#7805,T1
WATCHING HOME MOVIES,Fun & Games,5/26/23,#7805,T2
GREAT MINDS THINK ALIKE,Phrase,5/26/23,#7805,R1
RUNNING FOR PUBLIC OFFICE SUPPLIES,Before & After,5/26/23,#7805,R2
THE WARMTH OF THE SUN,Thing,5/26/23,#7805,R3*
HAILING A CAB,What Are You Doing?,5/26/23,#7805,T3
HITCHING A RIDE,What Are You Doing?,5/26/23,#7805,T4
REQUESTING AN UBER,What Are You Doing?,5/26/23,#7805,T5
BE THERE OR BE SQUARE,Rhyme Time,5/26/23,#7805,R4
ACING A POP QUIZ,What Are You Doing?,5/26/23,#7805,BR
THE EMPIRE STRIKES BACK,Movie Title,5/29/23,#7806,T1
COFFEE BEANS,Food & Drink,5/29/23,#7806,T2
A LONG TIME AGO IN A GALAXY FAR FAR AWAY,Movie Quote,5/29/23,#7806,R1
YOU HIT THE NAIL ON THE HEAD OF LETTUCE,Before & After,5/29/23,#7806,R2
I SO NEEDED THAT TODAY,Phrase,5/29/23,#7806,R3*
CLASSIC NOVEL,Thing,5/29/23,#7806,T3
HISTORICAL NOVEL,Thing,5/29/23,#7806,T4
BEDTIME STORY,Thing,5/29/23,#7806,T5
PLANNING MY NEXT VISIT,What Are You Doing?,5/29/23,#7806,R4
STAY AFLOAT,Phrase,5/29/23,#7806,BR
JOINING THE RESISTANCE,What Are You Doing?,5/30/23,#7807,T1
CHILDHOOD MEMORIES,Things,5/30/23,#7807,T2
CAMPING OUTSIDE THE MOVIE THEATER,Fun & Games,5/30/23,#7807,R1
DARTH VADER LUKE SKYWALKER AND PRINCESS LEIA,Family,5/30/23,#7807,R2
WHERE ADVENTURE AWAITS,Place,5/30/23,#7807,R3*
TROPHY CASE,Around the House,5/30/23,#7807,T3
DISPLAY CASE,Around the House,5/30/23,#7807,T4
PILLOWCASE,Around the House,5/30/23,#7807,T5
HOT CARAMEL SUNDAE,Food & Drink,5/30/23,#7807,R4
GIFTED YOUNG POET,Person,5/30/23,#7807,BR
OBI-WAN KENOBI,Character,5/31/23,#7808,T1
FIELD OF SUNFLOWERS,Place,5/31/23,#7808,T2
STAR SYSTEMS STARCRUISERS STORMTROOPERS,Same Letter,5/31/23,#7808,R1
SENSATIONAL WORLD PREMIERE,Event,5/31/23,#7808,R2
I CAN'T BELIEVE THIS IS HAPPENING!,Phrase,5/31/23,#7808,R3*
BUSINESS PARTNERS,People,5/31/23,#7808,T3
FELLOW TEAMMATES,People,5/31/23,#7808,T4
PERFECT STRANGERS,People,5/31/23,#7808,T5
SETTING A GOOD EXAMPLE,What Are You Doing?,5/31/23,#7808,R4
YOUR VIVID IMAGINATION,Thing,5/31/23,#7808,BR
RETURN OF THE JEDI,Movie Title,6/1/23,#7809,T1
CUSTOM-MADE NECKLACE,What Are You Wearing?,6/1/23,#7809,T2
INTERGALACTIC TRAVEL,Event,6/1/23,#7809,R1
BOWL SPINNER MIX BAR,Salad _____,6/1/23,#7809,R2^
SPENDING QUALITY TIME TOGETHER,What Are You Doing?,6/1/23,#7809,R3*
LANDO CALRISSIAN,Character,6/1/23,#7809,T3
JABBA THE HUTT,Character,6/1/23,#7809,T4
BOBA FETT,Character,6/1/23,#7809,T5
CLIMATIC BATTLE,Event,6/1/23,#7809,R4
FINICKY PUPPY,Living Thing,6/1/23,#7809,BR
THROWING A THEME PARTY,Fun & Games,6/2/23,#7810,T1
THE KEY TO HAPPINESS,Phrase,6/2/23,#7810,T2
THESE AREN'T THE DROIDS YOU'RE LOOKING FOR,Movie Quote,6/2/23,#7810,R1
ESCAPE ROOM WITH A VIEW,Before & After,6/2/23,#7810,R2
A TRULY STELLAR EXPERIENCE,Event,6/2/23,#7810,R3*
MY FAVORITE FILM,Thing,6/2/23,#7810,T3
MY SECOND FAVORITE FILM,Thing,6/2/23,#7810,T4
BEST FILM IN THE UNIVERSE!,Thing,6/2/23,#7810,T5
HAN SOLO & CHEWBACCA,Characters,6/2/23,#7810,R4
FOCUS ON THE JOB,Phrase,6/2/23,#7810,BR
JEDI MASTER,Character,6/5/23,#7811,T1
THIS IS NOT REHEARSAL,Phrase,6/5/23,#7811,T2
YOU DON'T KNOW THE POWER OF THE DARK SIDE,Movie Quote,6/5/23,#7811,R1
POP CULTURE PHENOMENON,Thing,6/5/23,#7811,R2
EXPLORING THE ISLAND,What Are You Doing?,6/5/23,#7811,R3*
BRIDESMAIDS,People,6/5/23,#7811,T3
GROOMSMEN,People,6/5/23,#7811,T4
WEDDING CRASHERS,People,6/5/23,#7811,T5
DOMINATING PERFORMANCE,Event,6/5/23,#7811,R4
OPEN BANK VAULT,Place,6/5/23,#7811,BR
YALE UNIVERSITY,Proper Name,6/6/23,#7812,T1
BACKGROUND MUSIC,Thing,6/6/23,#7812,T2
BIG BREAKFAST BUFFET,Same Letter,6/6/23,#7812,R1
A GOOD GROUP OF FRIENDS,People,6/6/23,#7812,R2
STAYING UP WAY TOO LATE,What Are You Doing?,6/6/23,#7812,R3*
WEST PALM BEACH,On the Map,6/6/23,#7812,T3
THE WEST COAST,On the Map,6/6/23,#7812,T4
THE WESTERN HEMISPHERE,On the Map,6/6/23,#7812,T5
PLAYING TWISTER,Fun & Games,6/6/23,#7812,R4
WEIGHING OUR OPTIONS,What Are You Doing?,6/6/23,#7812,BR
ANNAPOLIS MARYLAND,On the Map,6/7/23,#7813,T1
SPECIAL GUEST STAR,Show Biz,6/7/23,#7813,T2
WAY OUT IN THE MIDDLE OF NOWHERE,Place,6/7/23,#7813,R1
AMERICA HOOK JACK KIRK,O Captain! My Captain!,6/7/23,#7813,R2^
DANCING THE NIGHT AWAY,Fun & Games,6/7/23,#7813,R3*
ASKING FOR DIRECTIONS,What Are You Doing?,6/7/23,#7813,T3
READING A MAP,What Are You Doing?,6/7/23,#7813,T4
DRIVING AROUND IN CIRCLES,What Are You Doing?,6/7/23,#7813,T5
THAT WAS THEN THIS IS NOW,Phrase,6/7/23,#7813,R4
WILD ABOUT IT,Phrase,6/7/23,#7813,BR
MOUNTAIN LODGE,Place,6/8/23,#7814,T1
UNFINISHED BUSINESS,Thing,6/8/23,#7814,T2
I LIKE MINE WITH LETTUCE AND TOMATO,Song Lyrics,6/8/23,#7814,R1
PATH EXPRESS FREE PARK,"Which ""Way""?",6/8/23,#7814,R2^
A FUN-FILLED ESCAPE,Event,6/8/23,#7814,R3*
GOING TO A CONCERT,What Are You Doing?,6/8/23,#7814,T3
SITTING IN THE FRONT ROW,What Are You Doing?,6/8/23,#7814,T4
TAKING A BACKSTAGE TOUR,What Are You Doing?,6/8/23,#7814,T5
THE LIBRARY OF CONGRESS,Landmark,6/8/23,#7814,R4
THEY FIZZLED OUT,Phrase,6/8/23,#7814,BR
GIANT DINOSAURS,Things,6/9/23,#7815,T1
INSTANT REPLAY,Show Biz,6/9/23,#7815,T2
HUGE HEFTY HULKING HUMONGOUS,Same Letter,6/9/23,#7815,R1
PEARLS OF WISDOM TEETH,Before & After,6/9/23,#7815,R2
SPLASHING IN THE SURF,Fun & Games,6/9/23,#7815,R3*
PITCHING A TENT,What Are You Doing?,6/9/23,#7815,T3
BUILDING A CAMPFIRE,What Are You Doing?,6/9/23,#7815,T4
ROASTING MARSHMALLOWS,What Are You Doing?,6/9/23,#7815,T5
TEAM OF CLYDESDALES,Living Things,6/9/23,#7815,R4
CHECKING MY PHONE AGAIN,What Are You Doing?,6/9/23,#7815,BR
SPAIN & PORTUGAL,On the Map,9/11/23,#7816,T1
EXTRA VIRGIN OLIVE OIL,Food & Drink,9/11/23,#7816,T2
USE IT OR LOSE IT,Rhyme Time,9/11/23,#7816,R1
ROME WASN'T BUILT IN A DAY TRIP,Before & After,9/11/23,#7816,R2
A HAPPY-GO-LUCKY GUY,Person,9/11/23,#7816,R3*
THE LATEST STYLE,Thing,9/11/23,#7816,T3
THE LATEST TREND,Thing,9/11/23,#7816,T4
YESTERDAY'S NEWS,Thing,9/11/23,#7816,T5
MONOGRAMMED MUGS,In the Kitchen,9/11/23,#7816,R4
OVERTIME VICTORY,Fun & Games,9/11/23,#7816,BR
THE TOWER OF LONDON,Landmark,9/12/23,#7817,T1
HOCUS-POCUS,Rhyme Time,9/12/23,#7817,T2
THE PERFECT PLACE TO BE,Phrase,9/12/23,#7817,R1
SIX BATTERY RAT ICE,_____ Pack,9/12/23,#7817,R2^
ELVES AND HOBBITS,Characters,9/12/23,#7817,R3*
TAKING A COOKING CLASS,What Are You Doing?,9/12/23,#7817,T3
TAKING A PAINTING CLASS,What Are You Doing?,9/12/23,#7817,T4
TAKING A BREAK FROM IT ALL,What Are You Doing?,9/12/23,#7817,T5
BEDSPREADS & COMFORTERS,Around the House,9/12/23,#7817,R4
WHIRLING AROUND,Phrase,9/12/23,#7817,BR
MEDIEVAL CASTLES,Place,9/13/23,#7818,T1
AREA OF EXPERTISE,Thing,9/13/23,#7818,T2
TRAVELING TOURING TREKKING,Same Letter,9/13/23,#7818,R1
TASTING THE LOCAL CUISINE,What Are You Doing?,9/13/23,#7818,R2
THE COMPLETE WORKS OF WILLIAM SHAKESPEARE,Title,9/13/23,#7818,R3*
PART-TIME STUDENT,Person,9/13/23,#7818,T3
FULL-TIME STUDENT,Person,9/13/23,#7818,T4
JOB APPLICANT,Person,9/13/23,#7818,T5
I WOULD IF I COULD,Rhyme Time,9/13/23,#7818,R4
OBTAINING MY GOALS,What Are You Doing?,9/13/23,#7818,BR
KICKING A SOCCER BALL,Fun & Games,9/14/23,#7819,T1
CRUNCHING THE NUMBERS,What Are You Doing?,9/14/23,#7819,T2
EXPERIENCES YOU WON'T SOON FORGET,Things,9/14/23,#7819,R1
DENTIST OFFICE POLITICS,Before & After,9/14/23,#7819,R2
COFFEE-TABLE BOOK,Around the House,9/14/23,#7819,R3*
GERMAN CHOCOLATE CAKE,Food & Drink,9/14/23,#7819,T3
POLISH SAUSAGE,Food & Drink,9/14/23,#7819,T4
CORN DOG ON A STICK,Food & Drink,9/14/23,#7819,T5
FREELANCE ARTIST,Person,9/14/23,#7819,R4
A POPULAR BOUTIQUE,Place,9/14/23,#7819,BR
TAKING A DREAM TRIP,Event,9/15/23,#7820,T1
THE TONY AWARDS,Show Biz,9/15/23,#7820,T2
BRUSHING UP ON MY ITALIAN,What Are You Doing?,9/15/23,#7820,R1
SATELLITE & BUTTER DISH,Same Name,9/15/23,#7820,R2
DID I JUST SEE WHAT I THINK I SAW?,Phrase,9/15/23,#7820,R3*
ENGLISH BULLDOG,Living Thing,9/15/23,#7820,T3
FRENCH BULLDOG,Living Thing,9/15/23,#7820,T4
BULLFROG,Living Thing,9/15/23,#7820,T5
A HINT OF MINT,Rhyme Time,9/15/23,#7820,R4
BAKED CANDIED YAMS,Food & Drink,9/15/23,#7820,BR
AND AWAY WE GO!,Phrase,9/18/23,#7821,T1
SUMMER CAMP,Place,9/18/23,#7821,T2
TABLE TENNIS TOURNAMENT,Same Letter,9/18/23,#7821,R1
CHOCOLATES ON MY PILLOW,Food & Drink,9/18/23,#7821,R2
SMASH-HIT BROADWAY MUSICAL,Show Biz,9/18/23,#7821,R3*
EXECUTIVE CHEF,Occupation,9/18/23,#7821,T3
PASTRY CHEF,Occupation,9/18/23,#7821,T4
RESTAURANT CRITIC,Occupation,9/18/23,#7821,T5
WINNING LOTTERY TICKET,Thing,9/18/23,#7821,R4
UNWAVERING VOICE,Thing,9/18/23,#7821,BR
CAMPFIRE CHILI,Food & Drink,9/19/23,#7822,T1
IRISH SETTER,Living Thing,9/19/23,#7822,T2
KEEPING MY FINGERS CROSSED,What Are You Doing?,9/19/23,#7822,R1
BUSINESS & DANCE PARTNER,Same Name,9/19/23,#7822,R2
NEW PAIR OF NOISE-CANCELING HEADPHONES,What Are You Wearing?,9/19/23,#7822,R3*
ENORMOUS CRUISE SHIP,Thing,9/19/23,#7822,T3
MAGNIFICENT PRIVATE YACHT,Thing,9/19/23,#7822,T4
CANOE,Thing,9/19/23,#7822,T5
FAME AND FORTUNE,Phrase,9/19/23,#7822,R4
A JUBILANT GROUP,People,9/19/23,#7822,BR
BEST-DRESSED LIST,Show Biz,9/20/23,#7823,T1
GRANDFATHER CLOCK,Around the House,9/20/23,#7823,T2
GREENHOUSE FULL OF FLOWERS,Place,9/20/23,#7823,R1
WASTING TIME MACHINE,Before & After,9/20/23,#7823,R2
ECONOMICS PROFESSOR,Occupation,9/20/23,#7823,R3*
WISH YOU WERE HERE,Phrase,9/20/23,#7823,T3
WISH I WAS THERE,Phrase,9/20/23,#7823,T4
WISH WE WERE TOGETHER,Phrase,9/20/23,#7823,T5
SUPER-DUPER,Rhyme Time,9/20/23,#7823,R4
NEIGHBORHOOD BLOCK PARTY,Event,9/20/23,#7823,R5
OUTDOOR FESTIVAL,Event,9/20/23,#7823,BR
I LIKE YOUR STYLE,Phrase,9/21/23,#7824,T1
LIMOUSINE DRIVER,Occupation,9/21/23,#7824,T2
REBOUND JUMP HOOP NET,Playing Basketball,9/21/23,#7824,R1^
THE WICKED WITCH OF THE WEST,Character,9/21/23,#7824,R2
PAINTING A SELF-PORTRAIT,What Are You Doing?,9/21/23,#7824,R3*
PASTA STRAINER,In the Kitchen,9/21/23,#7824,T3
TURKEY BASTER,In the Kitchen,9/21/23,#7824,T4
SPORK,In the Kitchen,9/21/23,#7824,T5
SECRET COMPARTMENT,Thing,9/21/23,#7824,R4
BUILD A FIRM FOUNDATION,Phrase,9/21/23,#7824,BR
SOUVENIR SHOP,Place,9/22/23,#7825,T1
HOOK LINE AND SINKER,Phrase,9/22/23,#7825,T2
YOU LOOK PERFECT TONIGHT,Song Lyrics,9/22/23,#7825,R1
IN THE BLINK OF AN EYE EXAM,Before & After,9/22/23,#7825,R2
COOKING DINNER FOR MY FAMILY,What Are You Doing?,9/22/23,#7825,R3*
THE TRUTH,Thing,9/22/23,#7825,T3
THE WHOLE TRUTH,Thing,9/22/23,#7825,T4
RIDICULOUS RUMOR,Thing,9/22/23,#7825,T5
FIRE-BREATHING DRAGON,Character,9/22/23,#7825,R4
JUST BLUFFING,What Are You Doing?,9/22/23,#7825,BR
CHARM AND ELEGANCE,Things,9/25/23,#7826,T1
TUCSON ARIZONA,On the Map,9/25/23,#7826,T2
BEYOND MY WILDEST IMAGINATION,Phrase,9/25/23,#7826,R1
VOICE MESSAGE IN A BOTTLE,Before & After,9/25/23,#7826,R2
NUTRITIOUS AND DELICIOUS,Rhyme Time,9/25/23,#7826,R3*
CRYSTAL WINEGLASS,Around the House,9/25/23,#7826,T3
CHAMPAGNE FLUTE,Around the House,9/25/23,#7826,T4
SIPPY CUP,Around the House,9/25/23,#7826,T5
DINING IN THE DINING CAR,What Are You Doing?,9/25/23,#7826,R4
MY FAVORITE TEACHER,Person,9/25/23,#7826,R5
GO FOR A WALK,Phrase,9/25/23,#7826,BR
A RARE ADVENTURE,Event,9/26/23,#7827,T1
CAST-IRON SKILLET,In the Kitchen,9/26/23,#7827,T2
LILAC LAVENDER & LAUREL,Same Letter,9/26/23,#7827,R1
INVESTING IN THE STOCK MARKET,What Are You Doing?,9/26/23,#7827,R2
A LEGEND IN THE MAKING,Phrase,9/26/23,#7827,R3*
FRESH GROUND SUGAR,Food & Drink,9/26/23,#7827,T3
HIMALAYAN SEA SALT,Food & Drink,9/26/23,#7827,T4
SUGAR,Food & Drink,9/26/23,#7827,T5
CONSTRUCTION FOREMAN,Occupation,9/26/23,#7827,R4
OVERDUE FOR AN UPGRADE,Phrase,9/26/23,#7827,BR
SERVED ON A SILVER PLATTER,Phrase,9/27/23,#7828,T1
LEOPARD PRINT SCARF,What Are You Wearing?,9/27/23,#7828,T2
SPLENDID LAKES AND MOUNTAINS,Places,9/27/23,#7828,R1
BISCUIT WALKER SHOW BOWL,Dog _____,9/27/23,#7828,R2^
APPLE PIE LIKE MOM USED TO MAKE,Food & Drink,9/27/23,#7828,R3*
PLAYING THE GUITAR,Fun & Games,9/27/23,#7828,T3
PLAYING THE DRUMS,Fun & Games,9/27/23,#7828,T4
PLAYING HOPSCOTCH,Fun & Games,9/27/23,#7828,T5
TEAM OF ALL-STARS,People,9/27/23,#7828,R4
FORMAL GALA,Event,9/27/23,#7828,BR
THE ROCKIES,On the Map,9/28/23,#7829,T1
LITTLE LEAGUE UMPIRE,Person,9/28/23,#7829,T2
THE BEST VIEWS EVER,Things,9/28/23,#7829,R1
WHOLESOME HOME-COOKED MEAL,Food & Drink,9/28/23,#7829,R2
THEY DON'T MAKE THEM LIKE THEY USED TO,Phrase,9/28/23,#7829,R3*
USING A MICROSCOPE,What Are You Doing?,9/28/23,#7829,T3
USING A TELESCOPE,What Are You Doing?,9/28/23,#7829,T4
SQUINTING,What Are You Doing?,9/28/23,#7829,T5
A MAN WITHOUT A PLAN,Rhyme Time,9/28/23,#7829,R4
WE BEGAN A PROJECT,Phrase,9/28/23,#7829,BR
HAPPY PASSENGERS,People,9/29/23,#7830,T1
MINNESOTA VIKINGS,Proper Name,9/29/23,#7830,T2
CHARMING SMALL TOWNS,Places,9/29/23,#7830,R1
ANNIVERSARY & REPORT CARD,Same Name,9/29/23,#7830,R2
STRAWBERRY STUFFED FRENCH TOAST,Food & Drink,9/29/23,#7830,R3*
WALL-TO-WALL CARPET,Thing,9/29/23,#7830,T3
SHAG CARPET,Thing,9/29/23,#7830,T4
THE RED CARPET,Thing,9/29/23,#7830,T5
PUTTING ON MY GAME FACE,What Are You Doing?,9/29/23,#7830,R4
A DIFFICULT UPHILL HIKE,Thing,9/29/23,#7830,BR
ENCOURAGING WORDS,Things,10/2/23,#7831,T1
CHICKEN NOODLE SOUP,Food & Drink,10/2/23,#7831,T2
BABY ON BOARD OF EDUCATION,Before & After,10/2/23,#7831,R1
I'M HAVING THE TIME OF MY LIFE,Phrase,10/2/23,#7831,R2
GRADUATION CEREMONY,Event,10/2/23,#7831,R3*
SCHOOL AUDITORIUM,Place,10/2/23,#7831,T3
SCHOOL CAFETERIA,Place,10/2/23,#7831,T4
SCHOOL BUS,Place,10/2/23,#7831,T5
SOLVING PROBLEMS,What Are You Doing?,10/2/23,#7831,R4
VIEWING A FILM,What Are You Doing?,10/2/23,#7831,BR
INSPIRING YOUNG PEOPLE,What Are You Doing?,10/3/23,#7832,T1
LITTER OF KITTENS,Living Things,10/3/23,#7832,T2
I THOUGHT THIS WAS AN OPEN-BOOK TEST,Phrase,10/3/23,#7832,R1
VOLUNTEER TEAM HOME ARt,_____ Work,10/3/23,#7832,R2^
BUNCHES AND BUNCHES OF BERRIES,Food & Drink,10/3/23,#7832,R3*
RESEARCH PAPER,Thing,10/3/23,#7832,T3
TERM PAPER,Thing,10/3/23,#7832,T4
PAPER SHREDDER,Thing,10/3/23,#7832,T5
MILLION DOLLAR WINNER,Person,10/3/23,#7832,R4
SEAFOOD GUMBO,Food & Drink,10/3/23,#7832,BR
ELEMENTARY CLASSROOM,Place,10/4/23,#7833,T1
NEW KID IN TOWN,Person,10/4/23,#7833,T2
PUT YOUR THINKING CAPS ON,Phrase,10/4/23,#7833,R1
MOTHER-IN-LAW DEGREE,Before & After,10/4/23,#7833,R2
WINNING A COSTUME CONTEST,Event,10/4/23,#7833,R3*
CHALKBOARD,Thing,10/4/23,#7833,T3
DRY-ERASE BOARD,Thing,10/4/23,#7833,T4
DIVING BOARD,Thing,10/4/23,#7833,T5
IMPARTING KNOWLEDGE,What Are You Doing?,10/4/23,#7833,R4
PRACTICAL JOKE,Fun & Games,10/4/23,#7833,BR
SCHOOL CURRICULUM,Thing,10/5/23,#7834,T1
ROLLING THE DICE,Fun & Games,10/5/23,#7834,T2
FULFILLING A LIFELONG DREAM,What Are You Doing?,10/5/23,#7834,R1
SOLAR & HONOR SYSTEM,Same Name,10/5/23,#7834,R2
EARNING A PERFECT ATTENDANCE AWARD,Event,10/5/23,#7834,R3*
DRAMA STUDENTS,People,10/5/23,#7834,T3
MUSICAL STUDENTS,People,10/5/23,#7834,T4
STUDENT BODY,People,10/5/23,#7834,T5
DO YOU HAVE AN EXCUSE NOTE?,Phrase,10/5/23,#7834,R4
GLASS BAKEWARE,In the Kitchen,10/5/23,#7834,BR
SUMMER READING LIST,Thing,10/6/23,#7835,T1
SISTERS & BROTHERS,People,10/6/23,#7835,T2
GEOGRAPHY GEOMETRY & GOVERNMENT,Same Letter,10/6/23,#7835,R1
SCENTED CANDLES AND DIFFUSERS,Around the House,10/6/23,#7835,R2
BURSTING INTO LAUGHTER,What Are You Doing?,10/6/23,#7835,R3*
PLEASE RAISE YOUR HAND,Phrase,10/6/23,#7835,T3
PLEASE STAY IN YOUR SEAT,Phrase,10/6/23,#7835,T4
PLEASE GIVE ME A BREAK,Phrase,10/6/23,#7835,T5
NEWS AND VIEWS,Rhyme Time,10/6/23,#7835,R4
PROFOUND IMPACT,Thing,10/6/23,#7835,BR
AN AMERICAN ICON,Thing,10/9/23,#7836,T1
A FRIEND OF THE FAMILY,Person,10/9/23,#7836,T2
LET'S MAKE SURE WE'RE ALL ON THE SAME PAGE,Phrase,10/9/23,#7836,R1
HOME SWEET HOME PLATE,Before & After,10/9/23,#7836,R2
CHIEF EXECUTIVE OFFICER,Occupation,10/9/23,#7836,R3*
CHANGING LANES,What Are You Doing?,10/9/23,#7836,T3
CHANGING PLANES,What Are You Doing?,10/9/23,#7836,T4
CHANGING DIAPERS,What Are You Doing?,10/9/23,#7836,T5
FRESH CATCH OF THE DAY,Food & Drink,10/9/23,#7836,R4
OVERCOMING MY FEARS,What Are You Doing?,10/9/23,#7836,BR
THE BROOKLYN BRIDGE,Landmark,10/10/23,#7837,T1
RULING THE ROOST,What Are You Doing?,10/10/23,#7837,T2
MISSION: IMPOSSIBLE DEAD RECKONING PART ONE,Movie Title,10/10/23,#7837,R1
SELFIE & POGO STICK,Same Name,10/10/23,#7837,R2
FIVE-COURSE GOURMET DINNER,Food & Drink,10/10/23,#7837,R3*
OPERA SINGER,Person,10/10/23,#7837,T3
FOLK SINGER,Person,10/10/23,#7837,T4
WEDDING SINGER,Person,10/10/23,#7837,T5
A THING OF BEAUTY,Phrase,10/10/23,#7837,R4
PROVIDING GUIDANCE,What Are You Doing?,10/10/23,#7837,BR
NEIGHBORHOOD BARBERSHOP,Place,10/11/23,#7838,T1
NATIVE NEW YORKER,Person,10/11/23,#7838,T2
LIFETIME ACHIEVEMENT AWARD,Thing,10/11/23,#7838,R1
DELICIOUS DARK MILK HOT,_____ Chocolate,10/11/23,#7838,R2^
MAKING AN IMPORTANT ANNOUNCEMENT,What Are You Doing?,10/11/23,#7838,R3*
SWINGING A TENNIS RACKET,Fun & Games,10/11/23,#7838,T3
SWINGING A SOFTBALL BAT,Fun & Games,10/11/23,#7838,T4
SITTING ON A PORCH SWING,Fun & Games,10/11/23,#7838,T5
WILD-GOOSE CHASE,Phrase,10/11/23,#7838,R4
FORMER OCCUPANT,Person,10/11/23,#7838,BR
HOMETOWN HERO,Person,10/12/23,#7839,T1
THE ROYAL TREATMENT,Phrase,10/12/23,#7839,T2
THROWING CAUTION TO THE WIND,What Are You Doing?,10/12/23,#7839,R1
PING-PONG BALL AND CHAIN,Before & After,10/12/23,#7839,R2
HILARIOUS ROMANTIC COMEDY,Show Biz,10/12/23,#7839,R3*
COLLARBONE,Thing,10/12/23,#7839,T3
WRIST BONE,Thing,10/12/23,#7839,T4
FUNNY BONE,Thing,10/12/23,#7839,T5
PIZZA BY THE SLICE,Food & Drink,10/12/23,#7839,R4
FLUFFY RABBIT,Living Thing,10/12/23,#7839,BR
SALT LAKE CITY UTAH,On the Map,10/13/23,#7840,T1
